GAME_ID,COMMENCE_TIME,DATE,HOME_TEAM,AWAY_TEAM,BOOK,MARKET,MARKET_FAMILY,SIDE,ALT_FLAG,PLAYER_NAME,LINE,ODDS,HAS_FEATURES,PLAYER_TYPE,ENTITY_ID,batting_order,TEAM,OPP,OPP_PITCHER_ID,OPP_PITCHER_NAME,HOME_PROBABLE_PITCHER_ID,AWAY_PROBABLE_PITCHER_ID,HOME_PROBABLE_PITCHER_NAME,AWAY_PROBABLE_PITCHER_NAME,MERGE_PITCHER_ID,HRR_R5,TB_R5,H_R5,BB_R5,K_R5,HR_R5,SB_R5,PA_R5,AB_R5,HBP_R5,SF_R5,AVG_R5,OBP_R5,SLG_R5,OPS_R5,BB_RATE_R5,H_RATE_R5,TB_PER_PA_R5,HRR_PER_PA_R5,HRR_R10,TB_R10,H_R10,BB_R10,K_R10,HR_R10,SB_R10,PA_R10,AB_R10,HBP_R10,SF_R10,AVG_R10,OBP_R10,SLG_R10,OPS_R10,BB_RATE_R10,H_RATE_R10,TB_PER_PA_R10,HRR_PER_PA_R10,HRR_R15,TB_R15,H_R15,BB_R15,K_R15,HR_R15,SB_R15,PA_R15,AB_R15,HBP_R15,SF_R15,AVG_R15,OBP_R15,SLG_R15,OPS_R15,BB_RATE_R15,H_RATE_R15,TB_PER_PA_R15,HRR_PER_PA_R15,IP_R5,PITCHES_R5,HR_ALLOWED_R5,H_ALLOWED_R5,ER_R5,K_PER_IP_R5,PITCHES_PER_IP_R5,ERA_R5,WHIP_R5,K_PER_9_R5,BB_PER_9_R5,HR_PER_9_R5,IP_R10,PITCHES_R10,HR_ALLOWED_R10,H_ALLOWED_R10,ER_R10,K_PER_IP_R10,PITCHES_PER_IP_R10,ERA_R10,WHIP_R10,K_PER_9_R10,BB_PER_9_R10,HR_PER_9_R10,IP_R15,PITCHES_R15,HR_ALLOWED_R15,H_ALLOWED_R15,ER_R15,K_PER_IP_R15,PITCHES_PER_IP_R15,ERA_R15,WHIP_R15,K_PER_9_R15,BB_PER_9_R15,HR_PER_9_R15,PARK_FACTOR,ELEVATION_FT,WIND_SCALAR,bvp_pa,bvp_ab,bvp_hits,bvp_hr,bvp_bb,bvp_so,bvp_tb,bvp_bbe,bvp_avg,bvp_slg,bvp_hr_rate_ab,bvp_bb_rate,bvp_so_rate,bvp_confidence_weight,bvp_matchup_score,BOOK_PROB,MODEL_PROB_RAW,MODEL_PROB_CAL,MODEL_PROB_ADJ,MODEL_PROB_FINAL,EDGE,IS_RANK_ELIGIBLE,IS_BETWORTHY,LINE_TYPE,CONFIDENCE_TIER,TEMPLATE_MODEL_USED,MODEL_PROB_USED,GAME_KEY,FEATURE_BOOST,PICK_SCORE,START_TIME_CT,START_HOUR_CT,SLATE_BUCKET,SINGLE_SCORE,RESULT_ACTUAL,RESULT_LINE,PICK_HIT
0aecf375a07f34755e00a1ba7fb63c16,2026-06-02T22:45:00Z,2026-06-02,Boston Red Sox,Baltimore Orioles,draftkings,batter_hits_runs_rbis,HRR,Over,0,Jarren Duran,1.5,-132,1,BATTER,680776.0,,boston red sox,baltimore orioles,669358.0,,813349,669358.0,,,669358.0,4.8,4.8,1.8,1.2,0.8,0.8,0.2,5.0,3.6,0.0,0.2,0.5,0.6,1.3333333333333333,1.933333333333333,0.24,0.36,0.96,0.96,4.1,4.0,1.6,0.7,1.1,0.7,0.2,4.9,4.1,0.0,0.1,0.3902439024390244,0.4693877551020408,0.9756097560975612,1.4449975111996018,0.1428571428571428,0.3265306122448979,0.8163265306122448,0.8367346938775508,3.0,2.7333333333333334,1.1333333333333333,0.5333333333333333,1.0666666666666669,0.4666666666666667,0.2,4.6,4.0,0.0,0.0666666666666666,0.2833333333333333,0.3623188405797101,0.6833333333333333,1.0456521739130435,0.1159420289855072,0.2463768115942029,0.5942028985507247,0.6521739130434783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,20,1.25,15.0,14.0,2.0,0.0,0.0,3.0,3.0,11.0,0.1428571428571428,0.2142857142857142,0.0,0.0,0.2,1.0,0.1392857142857143,0.5689655172413793,0.6739003834121899,0.6739003834121899,0.6739003834121899,0.6739003834121899,0.1049348661708106,True,True,BASE,ELITE,True,0.6739003834121899,0aecf375a07f34755e00a1ba7fb63c16,0.0,,2026-06-02 17:45:00-05:00,17,late,0.6699883527392149,2.0,1.5,1.0
286c7b1ca015708320800e8f2a9bf4de,2026-06-02T23:05:00Z,2026-06-02,New York Yankees,Cleveland Guardians,draftkings,batter_hits_runs_rbis,HRR,Over,0,Ben Rice,1.5,-120,1,BATTER,700250.0,,new york yankees,cleveland guardians,676282.0,,693645,676282.0,,,676282.0,3.8,3.0,1.2,0.2,0.8,0.2,0.0,4.6,4.4,0.0,0.0,0.2727272727272727,0.3043478260869565,0.6818181818181818,0.9861660079051382,0.0434782608695652,0.2608695652173913,0.6521739130434783,0.8260869565217391,3.5,3.0,1.4,0.3,0.6,0.3,0.1,4.3,4.0,0.0,0.0,0.35,0.3953488372093023,0.75,1.1453488372093024,0.0697674418604651,0.3255813953488372,0.6976744186046512,0.813953488372093,3.466666666666667,3.0,1.4,0.4,0.6666666666666666,0.3333333333333333,0.0666666666666666,4.466666666666667,4.0,0.0,0.0666666666666666,0.35,0.4029850746268656,0.75,1.1529850746268655,0.0895522388059701,0.3134328358208955,0.6716417910447761,0.7761194029850746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,54,1.25,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3,0.0,0.5454545454545454,0.6223043831168832,0.6223043831168832,0.6223043831168832,0.6223043831168832,0.0768498376623377,True,True,BASE,ELITE,True,0.6223043831168832,286c7b1ca015708320800e8f2a9bf4de,0.0,,2026-06-02 18:05:00-05:00,18,late,0.6225200324675326,2.0,1.5,1.0
28a4a80f7b04c4d03f249c8cb82ad092,2026-06-02T23:40:00Z,2026-06-02,Milwaukee Brewers,San Francisco Giants,draftkings,pitcher_strikeouts,K,Over,0,Trevor McDonald,4.5,-127,1,PITCHER,686790.0,,san francisco giants,milwaukee brewers,,,690986,686790.0,,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,,,,6.666666666666666,83.5,0.5,4.0,1.5,1.05,12.525,2.0250000000000004,0.7500000000000001,9.45,1.35,0.675,6.666666666666666,83.5,0.5,4.0,1.5,1.05,12.525,2.0250000000000004,0.7500000000000001,9.45,1.35,0.675,6.666666666666666,83.5,0.5,4.0,1.5,1.05,12.525,2.0250000000000004,0.7500000000000001,9.45,1.35,0.675,1.1,635,0.9,,,,,,,,,,,,,,,,0.5594713656387665,0.6384058370044055,0.6384058370044055,0.6384058370044055,0.6384058370044055,0.0789344713656389,True,True,BASE,ELITE,True,0.6384058370044055,28a4a80f7b04c4d03f249c8cb82ad092,0.0,,2026-06-02 18:40:00-05:00,18,late,0.6293333700440531,4.0,4.5,0.0
2fa44becfc394386d661eff0256111d3,2026-06-03T01:40:00Z,2026-06-02,Seattle Mariners,New York Mets,draftkings,batter_hits_runs_rbis,HRR,Over,0,Juan Soto,1.5,-112,1,BATTER,665742.0,,new york mets,seattle mariners,669302.0,,669302,,,,669302.0,4.6,4.6,1.6,0.0,0.6,1.0,0.0,4.0,3.8,0.0,0.0,0.4210526315789474,0.4210526315789474,1.2105263157894737,1.631578947368421,0.0,0.4,1.15,1.15,3.2,2.7,1.2,0.5,1.0,0.5,0.1,4.5,3.9,0.0,0.0,0.3076923076923077,0.3863636363636363,0.6923076923076924,1.0786713286713288,0.1111111111111111,0.2666666666666666,0.6000000000000001,0.7111111111111111,3.066666666666667,2.8,1.2666666666666666,0.6,0.8,0.4666666666666667,0.0666666666666666,4.4,3.733333333333333,0.0,0.0,0.3392857142857142,0.4307692307692308,0.7499999999999999,1.1807692307692306,0.1363636363636363,0.2878787878787878,0.6363636363636362,0.6969696969696969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,10,1.25,6.0,6.0,1.0,0.0,0.0,3.0,1.0,3.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.5,0.6,0.08,0.5283018867924528,0.607799516538288,0.607799516538288,0.607799516538288,0.607799516538288,0.0794976297458351,True,True,BASE,ELITE,True,0.607799516538288,2fa44becfc394386d661eff0256111d3,0.0,,2026-06-02 20:40:00-05:00,20,late,0.609175555215225,1.0,1.5,0.0
4ff70f42672aed275f8d6a3a5c9f5321,2026-06-03T01:40:00Z,2026-06-02,Arizona Diamondbacks,Los Angeles Dodgers,draftkings,batter_hits_runs_rbis,HRR,Over,0,Freddie Freeman,1.5,-135,1,BATTER,518692.0,,los angeles dodgers,arizona diamondbacks,647336.0,,647336,641778.0,,,647336.0,3.6,3.6,1.4,0.0,1.0,0.6,0.0,4.4,4.0,0.0,0.4,0.35,0.3181818181818181,0.9,1.2181818181818185,0.0,0.3181818181818181,0.8181818181818181,0.8181818181818181,2.7,2.6,1.3,0.2,1.4,0.3,0.0,4.4,4.0,0.0,0.2,0.325,0.3409090909090909,0.65,0.990909090909091,0.0454545454545454,0.2954545454545454,0.5909090909090908,0.6136363636363636,2.2,2.0,1.1333333333333333,0.2666666666666666,1.0666666666666669,0.2,0.0,4.4,4.0,0.0,0.1333333333333333,0.2833333333333333,0.3181818181818181,0.5,0.8181818181818181,0.0606060606060606,0.2575757575757575,0.4545454545454545,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,1061,1.25,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.4,0.0,0.574468085106383,0.5823866428341162,0.5823866428341162,0.5823866428341162,0.5823866428341162,0.0079185577277332,True,True,BASE,ELITE,True,0.5823866428341162,4ff70f42672aed275f8d6a3a5c9f5321,0.0,,2026-06-02 20:40:00-05:00,20,late,0.585795711407387,6.0,1.5,1.0
507ec1a59ca1a2aa1386a2dbe2fbfa7b,2026-06-02T22:40:00Z,2026-06-02,Tampa Bay Rays,Detroit Tigers,draftkings,batter_hits_runs_rbis,HRR,Over,0,Yandy Diaz,1.5,-144,1,BATTER,650490.0,1.0,tampa bay rays,detroit tigers,656427.0,,571927,656427.0,,,656427.0,4.2,3.2,1.8,0.6,0.4,0.2,0.0,4.4,3.6,0.2,0.0,0.5,0.5909090909090908,0.888888888888889,1.4797979797979797,0.1363636363636363,0.409090909090909,0.7272727272727273,0.9545454545454544,3.1,2.4,1.4,0.3,0.3,0.2,0.0,4.0,3.6,0.1,0.0,0.3888888888888888,0.45,0.6666666666666666,1.1166666666666667,0.075,0.35,0.6,0.775,3.0,2.2,1.3333333333333333,0.4,0.3333333333333333,0.2,0.0,4.066666666666666,3.533333333333333,0.1333333333333333,0.0,0.3773584905660377,0.4590163934426229,0.6226415094339623,1.0816579028765854,0.0983606557377049,0.3278688524590163,0.5409836065573771,0.7377049180327869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,44,1.0,8.0,7.0,3.0,1.0,0.0,0.0,6.0,7.0,0.4285714285714285,0.8571428571428571,0.1428571428571428,0.0,0.0,0.8,0.4171428571428571,0.5901639344262295,0.6167280444964872,0.6167280444964872,0.6167280444964872,0.6167280444964872,0.0265641100702577,True,True,BASE,ELITE,True,0.6167280444964872,507ec1a59ca1a2aa1386a2dbe2fbfa7b,0.0,,2026-06-02 17:40:00-05:00,17,late,0.6173898009367683,0.0,1.5,0.0
6c525054ef6bbee384a6400f05a7ef19,2026-06-02T23:40:00Z,2026-06-02,Minnesota Twins,Chicago White Sox,draftkings,pitcher_strikeouts,K,Over,0,Connor Prielipp,4.5,-147,1,PITCHER,687570.0,,minnesota twins,chicago white sox,,,687570,663436.0,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,,4.583333333333333,87.5,0.5,4.0,3.0,1.090909090909091,19.090909090909093,5.890909090909092,1.309090909090909,9.818181818181818,3.927272727272728,0.981818181818182,4.583333333333333,87.5,0.5,4.0,3.0,1.090909090909091,19.090909090909093,5.890909090909092,1.309090909090909,9.818181818181818,3.927272727272728,0.981818181818182,4.583333333333333,87.5,0.5,4.0,3.0,1.090909090909091,19.090909090909093,5.890909090909092,1.309090909090909,9.818181818181818,3.927272727272728,0.981818181818182,0.96,812,0.9,,,,,,,,,,,,,,,,0.5951417004048583,0.5473203441295547,0.5473203441295547,0.5473203441295547,0.5473203441295547,-0.0478213562753035,True,True,BASE,ELITE,True,0.5473203441295547,6c525054ef6bbee384a6400f05a7ef19,0.0,,2026-06-02 18:40:00-05:00,18,late,0.5455347165991904,7.0,4.5,1.0
7303b906ec24908bb3cff071bf340eec,2026-06-03T00:05:00Z,2026-06-02,Chicago Cubs,Athletics,draftkings,batter_hits_runs_rbis,HRR,Over,0,Nick Kurtz,1.5,-110,1,BATTER,701762.0,,athletics,chicago cubs,592791.0,,592791,695611.0,,,592791.0,3.8,2.0,1.4,0.8,1.0,0.0,0.2,4.8,4.0,0.0,0.0,0.35,0.4583333333333333,0.5,0.9583333333333334,0.1666666666666666,0.2916666666666667,0.4166666666666667,0.7916666666666666,2.9,1.6,1.2,0.6,1.2,0.0,0.1,4.6,4.0,0.0,0.0,0.3,0.391304347826087,0.4,0.791304347826087,0.1304347826086956,0.2608695652173913,0.3478260869565218,0.6304347826086957,2.533333333333333,1.6,1.0666666666666669,0.7333333333333333,1.4,0.0666666666666666,0.0666666666666666,4.733333333333333,4.0,0.0,0.0,0.2666666666666666,0.380281690140845,0.4,0.780281690140845,0.1549295774647887,0.2253521126760563,0.3380281690140845,0.5352112676056338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,596,1.0,,,,,,,,,,,,,,,,0.5238095238095238,0.558810064935065,0.558810064935065,0.558810064935065,0.558810064935065,0.0350005411255411,True,True,BASE,ELITE,True,0.558810064935065,7303b906ec24908bb3cff071bf340eec,0.0,,2026-06-02 19:05:00-05:00,19,late,0.5641052597402599,3.0,1.5,1.0
748fa098c21c17715ebec1653befb6c2,2026-06-02T23:45:00Z,2026-06-02,St. Louis Cardinals,Texas Rangers,draftkings,batter_hits_runs_rbis,HRR,Over,0,Ezequiel Duran,1.5,-103,1,BATTER,677649.0,,texas rangers,st. louis cardinals,669160.0,,669160,543135.0,,,669160.0,3.8,3.2,1.6,0.0,1.0,0.2,0.0,4.0,4.0,0.0,0.0,0.4,0.4,0.8,1.2000000000000002,0.0,0.4,0.8,0.95,3.4,2.7,1.6,0.2,0.7,0.1,0.0,4.1,3.8,0.0,0.0,0.4210526315789474,0.45,0.7105263157894738,1.160526315789474,0.048780487804878,0.3902439024390244,0.6585365853658538,0.8292682926829269,2.6,2.066666666666667,1.2666666666666666,0.2666666666666666,0.6,0.0666666666666666,0.0,3.6666666666666665,3.333333333333333,0.0,0.0,0.3799999999999999,0.4259259259259259,0.62,1.045925925925926,0.0727272727272727,0.3454545454545454,0.5636363636363637,0.7090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,455,1.0,,,,,,,,,,,,,,,,0.5073891625615764,0.5807114168159427,0.5807114168159427,0.5807114168159427,0.5807114168159427,0.0733222542543663,True,True,BASE,ELITE,True,0.5807114168159427,748fa098c21c17715ebec1653befb6c2,0.0,,2026-06-02 18:45:00-05:00,18,late,0.5842545034706674,0.0,1.5,0.0
74f3bd29e00a7932dfcd53369f030251,2026-06-02T22:40:00Z,2026-06-02,Philadelphia Phillies,San Diego Padres,draftkings,batter_hits,H,Over,0,Alec Bohm,0.5,-254,1,BATTER,664761.0,,philadelphia phillies,san diego padres,681190.0,,605400,681190.0,,,681190.0,2.0,2.6,1.2,0.6,0.6,0.4,0.0,4.0,3.4,0.0,0.0,0.3529411764705882,0.4499999999999999,0.7647058823529412,1.2147058823529413,0.15,0.3,0.65,0.5,1.7,1.7,1.0,0.5,0.5,0.2,0.0,4.0,3.5,0.0,0.0,0.2857142857142857,0.375,0.4857142857142857,0.8607142857142858,0.125,0.25,0.425,0.425,1.4666666666666666,1.4,0.8666666666666667,0.4,0.6,0.1333333333333333,0.0,4.133333333333334,3.6666666666666665,0.0,0.0666666666666666,0.2363636363636364,0.3064516129032258,0.3818181818181818,0.6882697947214076,0.0967741935483871,0.2096774193548387,0.3387096774193547,0.3548387096774193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,9,1.0,4.0,3.0,2.0,1.0,0.0,1.0,5.0,2.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.0,0.25,0.4,0.38,0.7175141242937854,0.7122725571391885,0.7122725571391885,0.7122725571391885,0.7122725571391885,-0.0052415671545968,True,True,BASE,ELITE,True,0.7122725571391885,74f3bd29e00a7932dfcd53369f030251,0.0,,2026-06-02 17:40:00-05:00,17,late,0.6262907525680534,0.0,0.5,0.0
7b042ea490ee94f3a5fae88a241e0c70,2026-06-02T22:45:00Z,2026-06-02,Washington Nationals,Miami Marlins,draftkings,batter_hits_runs_rbis,HRR,Over,0,James Wood,1.5,-130,1,BATTER,695578.0,1.0,washington nationals,miami marlins,669199.0,,663992,669199.0,,,669199.0,3.4,2.6,1.2,0.4,0.8,0.4,0.2,4.2,3.8,0.0,0.0,0.3157894736842105,0.3809523809523809,0.6842105263157895,1.0651629072681703,0.0952380952380952,0.2857142857142857,0.6190476190476191,0.8095238095238094,2.7,2.1,1.2,0.3,1.2,0.2,0.1,4.4,4.1,0.0,0.0,0.2926829268292683,0.3409090909090909,0.5121951219512195,0.8531042128603105,0.0681818181818181,0.2727272727272727,0.4772727272727272,0.6136363636363636,2.466666666666667,1.6666666666666667,1.0,0.5333333333333333,1.4,0.1333333333333333,0.1333333333333333,4.466666666666667,3.933333333333333,0.0,0.0,0.2542372881355932,0.3432835820895522,0.423728813559322,0.7670123956488744,0.1194029850746268,0.2238805970149253,0.373134328358209,0.5522388059701493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,25,1.25,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3,0.0,0.5652173913043478,0.5507482883963862,0.5507482883963862,0.5507482883963862,0.5507482883963862,-0.0144691029079615,True,True,BASE,ELITE,True,0.5507482883963862,7b042ea490ee94f3a5fae88a241e0c70,0.0,,2026-06-02 17:45:00-05:00,17,late,0.5566884253246754,0.0,1.5,0.0
8e66855f2231ccc68e5ba0ad7f2091a5,2026-06-03T01:38:00Z,2026-06-02,Los Angeles Angels,Colorado Rockies,draftkings,batter_hits,H,Over,0,Troy Johnston,0.5,-192,1,BATTER,687859.0,4.0,colorado rockies,los angeles angels,680570.0,,680570,608372.0,,,680570.0,2.4,1.6,1.4,0.0,0.6,0.0,0.2,4.4,4.4,0.0,0.0,0.3181818181818181,0.3181818181818181,0.3636363636363636,0.6818181818181818,0.0,0.3181818181818181,0.3636363636363636,0.5454545454545454,1.9,1.4,1.2,0.2,0.7,0.0,0.1,3.9,3.7,0.0,0.0,0.3243243243243243,0.3589743589743589,0.3783783783783783,0.7373527373527373,0.0512820512820512,0.3076923076923077,0.358974358974359,0.4871794871794871,2.1333333333333333,1.4666666666666666,1.2666666666666666,0.3333333333333333,0.7333333333333333,0.0,0.0666666666666666,4.066666666666666,3.733333333333333,0.0,0.0,0.3392857142857142,0.3934426229508196,0.3928571428571428,0.7862997658079625,0.081967213114754,0.3114754098360656,0.360655737704918,0.5245901639344263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,160,1.0,,,,,,,,,,,,,,,,0.6575342465753424,0.6731945620589456,0.6731945620589456,0.6731945620589456,0.6731945620589456,0.0156603154836031,True,True,BASE,ELITE,True,0.6731945620589456,8e66855f2231ccc68e5ba0ad7f2091a5,0.0,,2026-06-02 20:38:00-05:00,20,late,0.5903389970942299,2.0,0.5,1.0
996682744f55836e619953bc8cfd16ef,2026-06-02T23:10:00Z,2026-06-02,Cincinnati Reds,Kansas City Royals,draftkings,batter_hits,H,Over,0,Spencer Steer,0.5,-217,1,BATTER,668715.0,6.0,cincinnati reds,kansas city royals,702070.0,,671096,702070.0,,,702070.0,2.2,1.6,1.4,0.4,1.0,0.0,0.0,4.4,4.0,0.0,0.0,0.35,0.409090909090909,0.4,0.8090909090909091,0.0909090909090909,0.3181818181818181,0.3636363636363636,0.5,1.9,1.5,1.3,0.3,0.8,0.0,0.1,4.1,3.8,0.0,0.0,0.3421052631578947,0.3902439024390244,0.3947368421052631,0.7849807445442876,0.073170731707317,0.3170731707317074,0.3658536585365854,0.4634146341463415,2.0,1.6,1.2,0.4,0.6666666666666666,0.0666666666666666,0.0666666666666666,3.933333333333333,3.533333333333333,0.0,0.0,0.3396226415094339,0.4067796610169492,0.4528301886792453,0.8596098496961946,0.1016949152542373,0.3050847457627119,0.4067796610169492,0.5084745762711864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,683,1.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3,0.16,0.6845425867507886,0.7483846764431449,0.7483846764431449,0.7483846764431449,0.7483846764431449,0.0638420896923562,True,True,BASE,ELITE,True,0.7483846764431449,996682744f55836e619953bc8cfd16ef,0.0,,2026-06-02 18:10:00-05:00,18,late,0.6595139023276932,2.0,0.5,1.0
d151ae8d551dafc26e657e34d0b4cff3,2026-06-02T23:15:00Z,2026-06-02,Atlanta Braves,Toronto Blue Jays,draftkings,batter_hits,H,Over,0,Nathan Lukes,0.5,-220,1,BATTER,664770.0,,toronto blue jays,atlanta braves,693821.0,,693821,592332.0,,,693821.0,2.0,1.8,1.2,0.0,0.8,0.0,0.0,3.6,3.4,0.2,0.0,0.3529411764705882,0.3888888888888888,0.5294117647058824,0.9183006535947712,0.0,0.3333333333333333,0.5,0.5555555555555556,2.5,1.9,1.4,0.0,0.4,0.0,0.0,3.4,3.3,0.1,0.0,0.4242424242424242,0.4411764705882353,0.5757575757575758,1.0169340463458112,0.0,0.4117647058823529,0.5588235294117647,0.7352941176470589,1.6666666666666667,1.2666666666666666,0.9333333333333332,0.0,0.4666666666666667,0.0,0.0,3.2,3.066666666666667,0.1333333333333333,0.0,0.3043478260869565,0.3333333333333333,0.4130434782608695,0.7463768115942029,0.0,0.2916666666666666,0.3958333333333333,0.5208333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1050,0.9,,,,,,,,,,,,,,,,0.6875,0.6951965909090908,0.6951965909090908,0.6951965909090908,0.6951965909090908,0.0076965909090908,True,True,BASE,ELITE,True,0.6951965909090908,d151ae8d551dafc26e657e34d0b4cff3,0.0,,2026-06-02 18:15:00-05:00,18,late,0.6105808636363635,2.0,0.5,1.0
e73fadc7fb7502608603de6dfce34fac,2026-06-03T00:10:00Z,2026-06-02,Houston Astros,Pittsburgh Pirates,draftkings,batter_hits_runs_rbis,HRR,Over,0,Ryan O'Hearn,1.5,-134,1,BATTER,656811.0,,pittsburgh pirates,houston astros,681347.0,,681347,696149.0,,,681347.0,3.2,2.0,1.2,0.2,1.2,0.2,0.0,4.0,3.8,0.0,0.0,0.3157894736842105,0.35,0.5263157894736842,0.8763157894736842,0.05,0.3,0.5,0.8,2.6,1.7,1.0,0.3,1.1,0.2,0.0,4.2,3.9,0.0,0.0,0.2564102564102564,0.3095238095238095,0.4358974358974359,0.7454212454212454,0.0714285714285714,0.238095238095238,0.4047619047619047,0.6190476190476191,2.4,1.6,1.0666666666666669,0.3333333333333333,1.0,0.1333333333333333,0.0,4.2,3.8,0.0666666666666666,0.0,0.2807017543859649,0.3492063492063492,0.4210526315789474,0.7702589807852966,0.0793650793650793,0.2539682539682539,0.3809523809523809,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,40,0.9,,,,,,,,,,,,,,,,0.5726495726495726,0.5359241314241315,0.5359241314241315,0.5359241314241315,0.5359241314241315,-0.036725441225441,True,True,BASE,ELITE,True,0.5359241314241315,e73fadc7fb7502608603de6dfce34fac,0.0,,2026-06-02 19:10:00-05:00,19,late,0.5430502009102011,2.0,1.5,1.0
