DATE,SLATE,GAME_KEY,RESULT_TYPE,NUM_LEGS,PARLAY_MODEL_PROB,PARLAY_BOOK_PROB,PARLAY_DECIMAL,PARLAY_AMERICAN,PARLAY_EDGE,PARLAY_SCORE,P1_PLAYER,P1_TEAM,P1_MARKET,P1_LINE,P1_ODDS,P1_PROB,P1_EDGE,P1_LEG_SCORE,P1_GAME,P2_PLAYER,P2_TEAM,P2_MARKET,P2_LINE,P2_ODDS,P2_PROB,P2_EDGE,P2_LEG_SCORE,P2_GAME,P1_ACTUAL,P1_RESULT_LINE,P1_HIT,P1_DID_PLAY,P1_STATUS,P2_ACTUAL,P2_RESULT_LINE,P2_HIT,P2_DID_PLAY,P2_STATUS,PARLAY_HIT,PARLAY_STATUS,PARLAY_RESOLVED_LEGS,PARLAY_HITS,PARLAY_MISSES,PARLAY_DNP_LEGS,PARLAY_PENDING_LEGS
2026-06-02,full,0aecf375a07f34755e00a1ba7fb63c16,PARLAY,2,0.4038169938442212,0.3258178603006189,3.0691994572591588,207,0.0779991335436023,0.557215319488055,Jarren Duran,boston red sox,HRR,1.5,-132,0.6739003834121899,0.1049348661708106,0.6659883527392149,0aecf375a07f34755e00a1ba7fb63c16,Ceddanne Rafaela,boston red sox,HRR,1.5,-134,0.6114526228602316,0.0388030502106589,0.6085364130314131,0aecf375a07f34755e00a1ba7fb63c16,2.0,1.5,1.0,True,HIT,2.0,1.5,1.0,True,HIT,1,HIT,2,2,0,0,0
2026-06-02,full,286c7b1ca015708320800e8f2a9bf4de,PARLAY,2,0.3687485628469495,0.2940930037704231,3.4002849002849005,240,0.0746555590765264,0.5269048390783051,Ben Rice,new york yankees,HRR,1.5,-120,0.6223043831168832,0.0768498376623377,0.6185200324675326,286c7b1ca015708320800e8f2a9bf4de,Cody Bellinger,new york yankees,HRR,1.5,-117,0.6046463016004567,0.0654757946880143,0.6022745974724203,286c7b1ca015708320800e8f2a9bf4de,2.0,1.5,1.0,True,HIT,2.0,1.5,1.0,True,HIT,1,HIT,2,2,0,0,0
2026-06-02,full,28a4a80f7b04c4d03f249c8cb82ad092,PARLAY,2,0.3372566646061862,0.3374589189567163,2.963323663489432,196,-0.0002022543505301,0.4901558529444876,Trevor McDonald,san francisco giants,K,4.5,-127,0.6384058370044055,0.0789344713656389,0.6253333700440531,28a4a80f7b04c4d03f249c8cb82ad092,Rafael Devers,san francisco giants,HRR,0.5,-152,0.5390606315484033,-0.0641139716261998,0.5419357810245311,28a4a80f7b04c4d03f249c8cb82ad092,4.0,4.5,0.0,True,MISS,0.0,0.5,0.0,True,MISS,0,MISS,2,0,2,0,0
2026-06-02,full,2fa44becfc394386d661eff0256111d3,PARLAY,2,0.3270121648624519,0.3382652368671101,2.956260032102729,196,-0.0112530720046581,0.4906609532415023,Juan Soto,new york mets,HRR,1.5,-112,0.607799516538288,0.0794976297458351,0.605175555215225,2fa44becfc394386d661eff0256111d3,Marcus Semien,new york mets,HRR,0.5,-178,0.5490064954529882,-0.0912812743311844,0.5510859758167492,2fa44becfc394386d661eff0256111d3,1.0,1.5,0.0,True,MISS,0.0,0.5,0.0,True,MISS,0,MISS,2,0,2,0,0
2026-06-02,full,4ff70f42672aed275f8d6a3a5c9f5321,PARLAY,2,0.3348314440431582,0.2647318364545544,3.777407407407407,278,0.0700996075886038,0.4919916712600461,Freddie Freeman,los angeles dodgers,HRR,1.5,-135,0.5823866428341162,0.0079185577277332,0.581795711407387,4ff70f42672aed275f8d6a3a5c9f5321,Tommy Troy,arizona diamondbacks,HRR,1.5,117,0.5866630751640832,0.1258335820765256,0.5677300291509566,4ff70f42672aed275f8d6a3a5c9f5321,6.0,1.5,1.0,True,HIT,1.0,1.5,0.0,True,MISS,0,MISS,2,1,1,0,0
2026-06-02,full,507ec1a59ca1a2aa1386a2dbe2fbfa7b,PARLAY,2,0.3395775183530504,0.3301798223441901,3.028652668416448,203,0.0093976960088603,0.5017467560214796,Yandy Diaz,tampa bay rays,HRR,1.5,-144,0.6167280444964872,0.0265641100702577,0.6133898009367683,507ec1a59ca1a2aa1386a2dbe2fbfa7b,Jonathan Aranda,tampa bay rays,HRR,1.5,-127,0.5618484109502833,0.0023770453115167,0.5629005380742607,507ec1a59ca1a2aa1386a2dbe2fbfa7b,0.0,1.5,0.0,True,MISS,0.0,1.5,0.0,True,MISS,0,MISS,2,0,2,0,0
2026-06-02,full,6c525054ef6bbee384a6400f05a7ef19,PARLAY,2,0.2742583146000472,0.29649684141439,3.3727172108467074,237,-0.0222385268143427,0.4421539870166987,Chase Meidroth,chicago white sox,HRR,1.5,-139,0.5317732185875492,-0.0498167395714466,0.5352313611005454,6c525054ef6bbee384a6400f05a7ef19,Brooks Lee,minnesota twins,HRR,1.5,-104,0.5262683664374841,0.0164644448688566,0.5301668971224854,6c525054ef6bbee384a6400f05a7ef19,4.0,1.5,1.0,True,HIT,2.0,1.5,1.0,True,HIT,1,HIT,2,2,0,0,0
2026-06-02,full,7303b906ec24908bb3cff071bf340eec,PARLAY,2,0.2907745426763825,0.3246424044903132,3.0803123257110987,208,-0.0338678618139307,0.4575573577405507,Nick Kurtz,athletics,HRR,1.5,-110,0.558810064935065,0.0350005411255411,0.5601052597402599,7303b906ec24908bb3cff071bf340eec,Zack Gelof,athletics,HRR,0.5,-163,0.5309652342271163,-0.0888066288907544,0.534488015488947,7303b906ec24908bb3cff071bf340eec,3.0,1.5,1.0,True,HIT,2.0,0.5,1.0,True,HIT,1,HIT,2,2,0,0,0
2026-06-02,full,748fa098c21c17715ebec1653befb6c2,PARLAY,2,0.3004301166323335,0.2877401744396818,3.475357592825909,248,0.0126899421926516,0.4666399146782208,Ezequiel Duran,texas rangers,HRR,1.5,-103,0.5807114168159427,0.0733222542543663,0.5802545034706674,748fa098c21c17715ebec1653befb6c2,Josh Jung,texas rangers,HRR,1.5,-131,0.5279065205627707,-0.0391930465367964,0.531673998917749,748fa098c21c17715ebec1653befb6c2,0.0,1.5,0.0,True,MISS,3.0,1.5,1.0,True,HIT,0,MISS,2,1,1,0,0
2026-06-02,full,74f3bd29e00a7932dfcd53369f030251,PARLAY,2,0.2554069204481532,0.3348817567567568,2.986128625472888,199,-0.0794748363086035,0.4243650971550899,Trea Turner,philadelphia phillies,HRR,1.5,-156,0.5140904914831546,-0.0952845085168454,0.5189632521645022,74f3bd29e00a7932dfcd53369f030251,Alec Bohm,philadelphia phillies,HRR,1.5,-122,0.5069522017959518,-0.0425973477535978,0.5123960256522757,74f3bd29e00a7932dfcd53369f030251,3.0,1.5,1.0,True,HIT,0.0,1.5,0.0,True,MISS,0,MISS,2,1,1,0,0
2026-06-02,full,7b042ea490ee94f3a5fae88a241e0c70,PARLAY,2,0.291418732211373,0.3183975697740649,3.1407274895646986,214,-0.0269788375626918,0.4580690915845244,James Wood,washington nationals,HRR,1.5,-130,0.5507482883963862,-0.0144691029079615,0.5526884253246754,7b042ea490ee94f3a5fae88a241e0c70,CJ Abrams,washington nationals,HRR,1.5,-129,0.539930962187376,-0.0233878151052003,0.5427364852123859,7b042ea490ee94f3a5fae88a241e0c70,0.0,1.5,0.0,True,MISS,2.0,1.5,1.0,True,HIT,0,MISS,2,1,1,0,0
2026-06-02,full,8e66855f2231ccc68e5ba0ad7f2091a5,PARLAY,2,0.2413198207172448,0.356431700517722,2.8055865921787717,181,-0.1151118798004771,0.410839143059945,Tyler Freeman,colorado rockies,HRR,1.5,-125,0.5017536075036074,-0.0538019480519481,0.5076133189033188,8e66855f2231ccc68e5ba0ad7f2091a5,Kyle Karros,colorado rockies,HRR,0.5,-179,0.4907682004375552,-0.1508088604943443,0.4975067444025507,8e66855f2231ccc68e5ba0ad7f2091a5,,1.5,,False,DNP,2.0,0.5,1.0,True,HIT,,VOID/REDUCED,1,1,0,1,0
2026-06-02,full,996682744f55836e619953bc8cfd16ef,PARLAY,2,0.2929421079053302,0.3526288186705126,2.835843093511805,184,-0.0596867107651823,0.4594644086215572,JJ Bleday,cincinnati reds,HRR,1.5,-132,0.5513418653903568,-0.0176236518510225,0.5532345161591283,996682744f55836e619953bc8cfd16ef,Michael Massey,kansas city royals,HRR,0.5,-163,0.5421690915111367,-0.077602771606734,0.5447955641902458,996682744f55836e619953bc8cfd16ef,0.0,1.5,0.0,True,MISS,3.0,0.5,1.0,True,HIT,0,MISS,2,1,1,0,0
2026-06-02,full,d151ae8d551dafc26e657e34d0b4cff3,PARLAY,2,0.2649055173086739,0.295163290615957,3.387955182072829,239,-0.0302577733072831,0.4333886976617946,Matt Olson,atlanta braves,HRR,1.5,-105,0.5264529952417678,0.0142578732905482,0.5303367556224264,d151ae8d551dafc26e657e34d0b4cff3,Ronald Acuna Jr.,atlanta braves,HRR,1.5,-136,0.5134584754934332,-0.0628127109472448,0.5183817974539585,d151ae8d551dafc26e657e34d0b4cff3,5.0,1.5,1.0,True,HIT,1.0,1.5,0.0,True,MISS,0,MISS,2,1,1,0,0
2026-06-02,full,e73fadc7fb7502608603de6dfce34fac,PARLAY,2,0.2780119110212352,0.326877223872932,3.059252609134777,206,-0.0488653128516968,0.4456572457636572,Ryan O'Hearn,pittsburgh pirates,HRR,1.5,-134,0.5359241314241315,-0.036725441225441,0.5390502009102011,e73fadc7fb7502608603de6dfce34fac,Bryan Reynolds,pittsburgh pirates,HRR,1.5,-133,0.5293391486910801,-0.0414763019526966,0.5329920167957938,e73fadc7fb7502608603de6dfce34fac,2.0,1.5,1.0,True,HIT,0.0,1.5,0.0,True,MISS,0,MISS,2,1,1,0,0
